20000 200000
2331 13899 -1271
13899 7110 1709
7110 17709 2899
17709 3558 -5232
3558 8375 2764
8375 19204 2956
19204 4918 -1866
9097 10731 6568
10731 3054 1650
3054 2552 -2755
2552 14178 -4794
14178 3566 2889
3566 10871 -3211
10871 4127 7809
4127 3569 -5469
3569 19577 7101
19577 7267 -6874
7267 16649 165
16649 5600 4444
5600 4980 838
4980 6677 -3172
6677 2151 1164
2151 9731 -5123
9731 10351 4647
10351 3579 -27
3579 2662 907
2662 9097 -5408
7377 9229 1764
9229 11673 7
11673 6820 912
6820 15611 1665
15611 9552 -1346
9552 17546 -808
17546 3588 5030
3588 5505 -4697
5505 18757 12
18757 5561 4914
5561 15999 -4089
15999 3593 6380
3593 5274 149
5274 17739 -8259
17739 9816 7767
9816 11111 -624
11111 18362 -1880
18362 7622 -1236
7622 1376 1927
1376 7377 -3307
14717 813 3151
813 8013 3398
8013 11058 -5196
11058 14323 5386
14323 17612 1137
17612 8382 -942
8382 1271 -65
1271 3609 344
3609 16274 -5884
16274 443 4206
443 1813 2274
1813 127 -3409
127 17569 1800
17569 14348 -4470
14348 2394 6625
2394 890 -7548
890 1090 6151
1090 3619 -5498
3619 10546 5867
10546 14717 -5656
10042 18821 7842
18821 6337 -4512
6337 12443 6333
12443 1372 60
1372 19503 -2163
19503 3627 -2858
3627 9460 -2911
9460 4738 610
4738 5326 1492
5326 7139 1014
7139 3632 -2306
3632 11214 4261
11214 16772 -2633
16772 5536 1528
5536 4864 -1704
4864 7053 5516
7053 5885 -1428
5885 12079 -7517
12079 13461 3684
13461 10042 2743
2787 10567 7037
10567 9592 -6419
9592 3644 1098
3644 7524 5296
7524 7064 -763
7064 3647 2469
3647 1673 -1196
1673 5024 -1937
5024 3200 -2586
3200 8071 2215
8071 6698 2161
6698 19726 -5148
19726 3654 774
3654 7217 5051
7217 3656 -5074
3656 7912 2855
7912 9317 2363
9317 18279 -154
18279 7082 -2324
7082 2787 -4833
9113 7527 653
7527 3662 4952
3662 8554 -66
8554 1562 1922
1562 290 -4030
290 15342 -582
15342 3668 6570
3668 7402 -4253
7402 3670 1951
3670 16232 -3464
16232 13226 3092
13226 7335 2056
7335 16709 927
16709 7923 -2840
7923 10278 1419
10278 507 -398
507 3678 -2700
3678 9667 2848
9667 4480 -5501
4480 9113 3546
11949 18175 3036
18175 11631 6362
11631 2125 -4935
2125 9094 2990
9094 3686 -7266
3686 6405 8857
6405 3688 -4664
3688 14819 4168
14819 13533 -1098
13533 3691 -4455
3691 3692 -2955
3692 18109 6463
18109 17866 -2768
17866 19234 -1960
19234 10345 2331
10345 18611 -326
18611 16040 836
16040 13111 -931
13111 6422 2699
6422 11949 1560
2739 5007 8872
5007 732 -2766
732 2444 -4856
2444 1868 3838
1868 7832 -2121
7832 18858 -908
18858 10778 -1930
10778 6012 6316
6012 14215 3484
14215 7854 -8584
7854 3145 5339
3145 3713 -5512
3713 8248 3849
8248 6224 2382
6224 8010 -1430
8010 3717 1392
3717 17634 -4101
17634 1646 2244
1646 5070 837
5070 2739 -2199
17027 9745 3034
9745 8428 1183
8428 3724 -1635
3724 4848 4254
4848 18896 -5713
18896 15378 4950
15378 18026 995
18026 6871 -1214
6871 3730 3900
3730 7837 -969
7837 14413 -3698
14413 9664 4130
9664 3734 -8340
3734 15200 4227
15200 14696 -2308
14696 8173 6858
8173 4651 -7646
4651 17450 1010
17450 11588 6615
11588 17027 -3306
6460 17616 9691
17616 3743 -5376
3743 8874 -442
8874 3745 5695
3745 3746 -146
3746 14737 -6952
14737 14974 -480
14974 16023 -645
16023 2242 4367
2242 18985 2948
18985 11052 -7598
11052 11203 6061
11203 10562 11
10562 16792 2803
16792 4645 -5864
4645 15714 129
15714 968 -430
968 10324 450
10324 7032 1467
7032 6460 689
2375 8274 3618
8274 7188 1549
7188 13598 312
13598 8490 4223
8490 18672 -3553
18672 12012 -2409
12012 1155 -2497
1155 8684 5472
8684 3770 1785
3770 16054 -4122
16054 19090 5262
19090 3773 -6583
3773 3774 3621
3774 3775 304
3775 11267 2568
11267 7221 -8411
7221 16264 2428
16264 227 4894
227 3780 -8390
3780 2375 5414
14299 17983 3408
17983 15054 4982
15054 17600 331
17600 3785 -2586
3785 19178 -2135
19178 6504 3953
6504 19489 -227
19489 4880 -2528
4880 19697 -4264
19697 8795 8600
8795 15877 -3567
15877 1847 3682
1847 15175 -4716
15175 3844 3282
3844 18307 -3608
18307 17914 3226
17914 16590 745
16590 9260 -395
9260 10339 -5944
10339 14299 -303
6667 8705 8172
8705 5412 735
5412 7236 -2737
7236 2603 -3789
2603 3806 -123
3806 7263 374
7263 964 -2277
964 4449 4361
4449 4560 -3407
4560 13363 8635
13363 12228 -3655
12228 1899 2842
1899 5979 -6402
5979 15079 -1978
15079 790 6611
790 88 -7241
88 16805 355
16805 18249 7444
18249 3820 -2447
3820 6667 -1675
3923 10531 3350
10531 530 -1458
530 3824 4866
3824 3881 -1791
3881 68 -4591
68 17136 1952
17136 8676 1534
8676 1333 -2045
1333 446 304
446 7942 3762
7942 18452 -3564
18452 11668 3145
11668 13246 -3274
13246 16165 -2150
16165 3836 9794
3836 10935 -7093
10935 337 4722
337 3839 -184
3839 3840 -2882
3840 3923 -3932
12150 1635 2213
1635 16296 4452
16296 332 -3149
332 18179 3232
18179 8468 -3772
8468 7409 6827
7409 3848 -4341
3848 11826 -3
11826 17308 -2094
17308 16623 3400
16623 8381 -3595
8381 18817 -759
18817 4942 1357
4942 14575 5777
14575 5433 -3179
5433 15811 3204
15811 3858 -6887
3858 3859 -2240
3859 15524 5435
15524 12150 -180
906 3862 7623
3862 7414 -4370
7414 2793 -268
2793 514 5154
514 3507 -7990
3507 8489 4558
8489 17368 -1332
17368 18380 -545
18380 1033 1151
1033 14887 3598
14887 7295 -1295
7295 4268 278
4268 5140 -6333
5140 19743 7495
19743 14170 -4283
14170 16637 780
16637 12282 3245
12282 17485 -2020
17485 15808 2867
15808 906 -7919
799 19566 2213
19566 3883 1558
3883 5205 -1543
5205 16034 7104
16034 4470 -7831
4470 10938 8056
10938 13660 -8151
13660 13088 8239
13088 8238 -7282
8238 15321 7276
15321 3795 214
3795 16844 73
16844 2774 -5545
2774 6329 -202
6329 3896 3601
3896 3897 175
3897 476 -4188
476 18238 -160
18238 8983 2312
8983 799 974
14964 19946 1180
19946 14868 6539
14868 9270 -6828
9270 10769 3191
10769 1160 5345
1160 2385 -4573
2385 7131 4394
7131 8975 -6740
8975 7211 4659
7211 9642 -1062
9642 6523 -5517
6523 15593 8350
15593 10694 -1812
10694 12384 -479
12384 16451 -4715
16451 4156 5805
4156 15345 -5326
15345 7435 381
7435 18453 2756
18453 14964 -935
11346 9879 2915
9879 15941 479
15941 13243 -866
13243 16083 -2455
16083 12941 -65
12941 15591 2728
15591 6603 3181
6603 16225 -4884
16225 13991 7821
13991 2777 -1680
2777 12437 -2133
12437 6634 -4315
6634 3874 8365
3874 1871 -4597
1871 6368 528
6368 6791 2282
6791 15535 1255
15535 10957 -3196
10957 13436 -4559
13436 11346 2567
19680 9984 4727
9984 13123 4159
13123 6694 -419
6694 4322 303
4322 16671 -8525
16671 18034 8448
18034 10753 -5922
10753 3949 112
3949 13165 4770
13165 7640 -7502
7640 5040 3041
5040 12489 -2437
12489 19730 8564
19730 3955 188
3955 8148 -7009
8148 17465 -1313
17465 8581 3387
8581 5125 -2079
5125 7172 6355
7172 19680 -4602
862 3962 322
3962 3963 769
3963 11871 1409
11871 14053 1813
14053 14384 4555
14384 18962 -3169
18962 7 3325
7 4287 -2762
4287 7387 -4634
7387 8133 6311
8133 16065 -2574
16065 13273 4026
13273 6388 -6466
6388 3648 963
3648 17056 1458
17056 15216 1939
15216 2604 -2727
2604 4521 -118
4521 13121 -824
13121 862 -346
6798 1976 4601
1976 15733 3299
15733 4231 1116
4231 6541 -4674
6541 2628 -2067
2628 2446 5083
2446 3988 2172
3988 8621 -565
8621 6452 -2736
6452 16759 -466
16759 6266 4216
6266 7014 -9553
7014 1232 4743
1232 15074 1190
15074 8358 -4613
8358 6800 1240
6800 3998 5095
3998 12223 -4244
12223 14984 1511
14984 6798 -177
18898 19521 1438
19521 4003 5622
4003 6944 745
6944 3942 -7246
3942 4006 1100
4006 17750 1541
17750 8774 3687
8774 4084 -4584
4084 1671 7125
1671 19140 -8939
19140 20 1581
20 11719 4204
11719 5890 -1494
5890 4015 2937
4015 4016 2125
4016 2249 -1442
2249 4018 -7205
4018 19738 1001
19738 4020 -301
4020 18898 7590
4021 17692 1868
17692 19311 -828
19311 5449 128
5449 5450 5949
5450 4026 -4127
4026 7412 2510
7412 18635 -3829
18635 10703 433
10703 3903 5749
3903 5509 -806
5509 6762 2049
6762 18909 -71
18909 15337 -8547
15337 4035 4
4035 7219 5314
7219 5019 -3170
5019 12057 6770
12057 11009 -7774
11009 10456 3244
10456 4021 222
15862 4898 7464
4898 12311 -5254
12311 3286 6900
3286 13981 -7885
13981 2154 -1161
2154 1410 675
1410 1977 8795
1977 2902 -2967
2902 11034 -6298
11034 444 7584
444 16573 -4044
16573 4053 -2855
4053 17213 4154
17213 11811 4523
11811 3909 -7172
3909 16223 -528
16223 4590 2695
4590 11819 1187
11819 13594 -3433
13594 15862 448
15783 7296 8100
7296 6686 330
6686 16816 -1602
16816 5707 -396
5707 10610 -199
10610 2291 -1607
2291 17042 3851
17042 4069 891
4069 16642 -1873
16642 6001 -4608
6001 13493 5124
13493 2120 -5570
2120 1953 1676
1953 17761 5722
17761 2703 -1781
2703 4077 -5230
4077 7424 1628
7424 11274 -3428
11274 1492 4259
1492 15783 2130
4081 16150 1682
16150 1804 4950
1804 6529 -1723
6529 6215 -739
6215 4086 3498
4086 7153 -6470
7153 4434 485
4434 19496 -1555
19496 2987 261
2987 19067 4563
19067 15719 -2578
15719 440 -1228
440 1983 -1035
1983 5829 9224
5829 9610 -462
9610 13530 -8288
13530 1302 4629
1302 12964 2249
12964 4767 2307
4767 4081 -5686
15505 8987 6715
8987 5955 2992
5955 16984 -2222
16984 4105 1717
4105 9250 -7148
9250 15976 6431
15976 3169 -7395
3169 338 5485
338 6054 -598
6054 5951 1421
5951 5443 -2423
5443 19682 138
19682 4114 -3765
4114 4042 1629
4042 10547 -2797
10547 12806 7266
12806 5424 -7420
5424 4119 1545
4119 18161 224
18161 15505 7852
16365 4122 9728
4122 4123 -4227
4123 13770 1318
13770 10589 -3120
10589 11722 -877
11722 16183 -110
16183 5004 -2389
5004 4129 3766
4129 1214 1989
1214 4131 -2881
4131 12171 6302
12171 15168 -8783
15168 15878 3384
15878 4995 1125
4995 6236 3082
6236 11548 -5539
11548 12732 -828
12732 12096 6978
12096 9012 -7805
9012 16365 -875
7027 8230 9727
8230 7825 -9358
7825 4711 7173
4711 17846 -7365
17846 18552 308
18552 15902 2050
15902 4148 1389
4148 4149 2611
4149 19551 -6313
19551 4151 4125
4151 5699 -2255
5699 1745 1070
1745 16327 -1274
16327 18038 261
18038 8589 813
8589 8960 275
8960 3178 2058
3178 4159 -1055
4159 15777 -3213
15777 7027 6318
15392 15773 7433
15773 4163 -1905
4163 10695 -32
10695 696 -2247
696 7380 5453
7380 2475 -6758
2475 4168 -350
4168 14405 2255
14405 4170 249
4170 859 -3200
859 4172 8506
4172 3672 -1226
3672 15929 1641
15929 19036 -3549
19036 4176 -328
4176 4177 -959
4177 4790 -3847
4790 1084 4675
1084 4180 -2487
4180 15392 128
15604 14416 9634
14416 7192 -7191
7192 16074 3844
16074 11375 -3007
11375 4478 4710
4478 377 -4826
377 2009 5844
2009 19222 -7088
19222 14587 4287
14587 11634 2310
11634 2499 -5067
2499 6066 4044
6066 8414 -5582
8414 9271 5219
9271 8973 -3417
8973 12484 -475
12484 4198 -1415
4198 12457 2865
12457 11911 3408
11911 15604 -2874
15475 11217 9904
11217 18214 -7972
18214 5320 7722
5320 5445 -9590
5445 15436 5025
15436 10320 225
10320 17270 515
17270 4209 286
4209 4056 -3150
4056 1900 511
1900 19025 -2602
19025 6210 4093
6210 7452 3074
7452 3098 -756
3098 6258 -5059
6258 8157 -766
8157 6408 3422
6408 15212 369
15212 2720 -1295
2720 15475 -204
8255 13934 4959
13934 11264 277
11264 6911 -609
6911 11510 5012
11510 18891 -1862
18891 2229 -125
2229 10491 -6887
10491 4730 3017
4730 18133 5132
18133 3984 -312
3984 7889 -2009
7889 3685 -1291
3685 11270 4089
11270 19792 -3589
19792 15076 -798
15076 4237 1883
4237 2161 -3288
2161 4239 2434
4239 7306 -5080
7306 8255 226
4241 12305 5382
12305 4243 -238
4243 2258 3201
2258 6256 -7380
6256 10468 3016
10468 658 152
658 9620 2355
9620 1258 -1700
1258 4250 2036
4250 10533 -1388
10533 16377 -3377
16377 8847 4165
8847 3786 1728
3786 6330 -4142
6330 698 950
698 13870 3093
13870 16129 -1984
16129 13714 -2804
13714 17412 -1779
17412 4241 668
4261 15747 8481
15747 16544 -5327
16544 15186 164
15186 4265 2727
4265 4266 1764
4266 13962 1616
13962 4365 -3221
4365 6883 -2001
6883 1143 -1196
1143 4271 5821
4271 16721 -6046
16721 7846 -1452
7846 4274 2746
4274 2079 -1855
2079 19453 5020
19453 1681 1916
1681 1821 510
1821 7646 -6238
7646 4280 5543
4280 4261 -7467
19963 1826 6518
1826 3699 -2410
3699 8896 -61
8896 11486 387
11486 15969 -573
15969 1260 3495
1260 3191 630
3191 11467 -5279
11467 4290 1171
4290 15019 3328
15019 17657 -46
17657 9182 -5543
9182 8695 5222
8695 2007 -2796
2007 4849 978
4849 8034 1194
8034 18151 2722
18151 4299 -8442
4299 2891 3023
2891 19963 2289
14989 4302 8817
4302 14327 -7431
14327 18697 4740
18697 3228 2755
3228 654 -5250
654 8318 5423
8318 4308 -89
4308 5662 -2974
5662 16036 -4916
16036 6167 -434
6167 4312 6192
4312 9952 -5786
9952 4314 868
4314 9408 -1606
9408 14120 7487
14120 3851 -2852
3851 8814 -1278
8814 17962 1936
17962 2146 -3264
2146 14989 2240
14286 6976 7941
6976 3409 467
3409 12439 630
12439 2262 -6999
2262 14191 4468
14191 9105 -1675
9105 5521 5024
5521 15369 -7329
15369 2708 4087
2708 47 -3907
47 3289 1416
3289 13014 2797
13014 7216 -333
7216 17010 3166
17010 8160 -6023
8160 6618 5350
6618 11412 659
11412 15699 -2058
15699 1387 -3881
1387 14286 1205
8048 841 2763
841 4343 -53
4343 4344 339
4344 13947 -2688
13947 14214 9631
14214 13417 -4370
13417 4348 698
4348 7624 -696
7624 4350 -4549
4350 3188 1686
3188 14769 -1005
14769 3068 5715
3068 8654 -7256
8654 15507 -116
15507 4356 4972
4356 9609 -5020
9609 11930 5373
11930 4733 -5299
4733 4360 8167
4360 8048 -1734
18402 2846 5999
2846 4699 -1666
4699 8995 -1901
8995 6592 -2091
6592 12818 8221
12818 17464 -3919
17464 19874 5165
19874 271 -6647
271 45 -2501
45 10377 7108
10377 8546 -6364
8546 4373 4911
4373 10183 -3483
10183 14420 404
14420 11800 2674
11800 10621 -160
10621 19659 -5341
19659 1149 1897
1149 15090 3003
15090 18402 -5154
16097 4689 5588
4689 7661 506
7661 18246 -564
18246 9247 -5237
9247 8250 2080
8250 18415 3965
18415 12000 -2134
12000 6325 648
6325 4390 -2099
4390 17130 1918
17130 14597 3018
14597 11105 -4872
11105 9672 5885
9672 10307 910
10307 10732 -3314
10732 4397 1185
4397 5410 -1030
5410 4256 -5259
4256 12565 3857
12565 16097 4616
13476 18704 9848
18704 4403 -6325
4403 4404 2544
4404 10228 -5677
10228 17773 -146
17773 690 5240
690 16899 741
16899 10051 1521
10051 11487 -3542
11487 14064 37
14064 3900 -4029
3900 11041 3365
11041 13203 5123
13203 18750 -2269
18750 10031 39
10031 4518 -1673
4518 10082 3037
10082 6444 -7807
6444 5049 5288
5049 13476 -557
6462 9504 4322
9504 8801 2254
8801 18097 -1397
18097 17283 1408
17283 8021 -1195
8021 12599 3162
12599 17256 -301
17256 18825 -3462
18825 18228 1632
18228 16230 -1467
16230 2691 -4278
2691 14355 -651
14355 16200 5018
16200 9040 176
9040 9922 -4584
9922 1176 6294
1176 4438 -2347
4438 11497 -3975
11497 17036 1108
17036 6462 -193
13098 9165 4203
9165 2264 5045
2264 3868 -1379
3868 17979 -1207
17979 18248 -1903
18248 16532 2463
16532 13512 -763
13512 18903 3279
18903 4450 -5238
4450 4451 2552
4451 19343 -2353
19343 3533 -2732
3533 9298 3133
9298 986 1128
986 16616 -2997
16616 14770 -1626
14770 8635 6227
8635 4459 -2030
4459 13515 859
13515 13098 2461
14000 4462 238
4462 17152 9618
17152 10678 -6602
10678 1919 -2256
1919 8929 1337
8929 16032 5138
16032 9048 -1260
9048 18696 614
18696 3886 1253
3886 7968 264
7968 17016 -8262
17016 8544 4635
8544 17647 4636
17647 13245 -3307
13245 3350 3591
3350 16535 -5523
16535 12696 2319
12696 5349 -937
5349 14755 -4643
14755 14000 1280
5124 10359 1027
10359 4483 6379
4483 9331 -1893
9331 11155 -193
11155 2105 2416
2105 10371 -6540
10371 19630 2002
19630 15417 5680
15417 17719 -440
17719 18363 1471
18363 4492 -8517
4492 17975 416
17975 8236 6634
8236 933 -4870
933 3940 5697
3940 2873 -2650
2873 304 -2581
304 4499 4043
4499 7329 -1626
7329 5124 331
1715 14320 8024
14320 4503 -3263
4503 9352 -3355
9352 15852 2377
15852 9719 730
9719 10861 -403
10861 7051 1511
7051 5492 -4751
5492 7200 793
7200 4511 6570
4511 14679 -2960
14679 4885 -4132
4885 5527 279
5527 9584 833
9584 12915 -1962
12915 7694 206
7694 18723 1766
18723 4519 7231
4519 8003 -3541
8003 1715 -153
17633 18482 7118
18482 17429 137
17429 2252 -6175
2252 12210 7332
12210 12284 -5907
12284 19845 4299
19845 4528 -5052
4528 9404 6501
9404 15983 1161
15983 9821 -1464
9821 4532 1117
4532 8067 -2161
8067 8260 -5866
8260 3461 2694
3461 6625 4158
6625 1259 -7219
1259 12417 8214
12417 4539 -785
4539 16435 -5670
16435 17633 5466
4931 4542 7655
4542 5201 1194
5201 12285 -973
12285 4545 370
4545 16962 -3001
16962 18693 1131
18693 12688 2206
12688 13550 -111
13550 5824 -3250
5824 2955 142
2955 17592 3552
17592 8580 -5659
8580 6688 4390
6688 9930 -5694
9930 9527 2086
9527 1404 1307
1404 19484 4067
19484 132 -8571
132 12902 1430
12902 4931 6821
1175 3503 4212
3503 8855 -2789
8855 8910 5939
8910 9133 -3680
9133 3842 -3493
3842 11766 2913
11766 8577 1586
8577 18145 166
18145 6123 354
6123 15539 -2352
15539 7822 6012
7822 4573 -1200
4573 4574 -638
4574 4868 -5078
4868 17123 18
17123 14057 6360
14057 6768 -4
6768 8 -5296
8 12323 -730
12323 1175 6896
4581 4582 2442
4582 15646 -581
15646 8720 -1100
8720 8155 3360
8155 17086 4162
17086 2554 -3408
2554 405 2375
405 4098 2628
4098 11250 -2716
11250 4591 -6941
4591 14736 9019
14736 16206 -8202
16206 4594 7935
4594 1508 -6465
1508 8491 -2071
8491 8215 9543
8215 14593 -6922
14593 180 5020
180 4600 -2414
4600 4581 2340
6091 12755 260
12755 13234 6175
13234 9409 2017
9409 17495 -2973
17495 6027 -4885
6027 18669 9348
18669 3777 -1321
3777 4609 -8212
4609 2989 3235
2989 12866 -3534
12866 14668 1409
14668 14695 3218
14695 18193 3294
18193 2911 -7682
2911 11181 8673
11181 1989 -3775
1989 16294 1687
16294 9756 -2469
9756 11613 -2289
11613 6091 -1535
19116 15354 4739
15354 4207 -2973
4207 8725 -817
8725 6990 628
6990 12841 1896
12841 18261 2851
18261 5750 -1858
5750 4638 2693
4638 11033 242
11033 15093 -4465
15093 18067 6085
18067 14806 -6601
14806 9445 5827
9445 10987 -156
10987 15270 1779
15270 11057 -5960
11057 10384 5307
10384 14206 -5174
14206 1230 3443
1230 19116 -827
1714 12653 2719
12653 11692 1516
11692 7043 882
7043 16848 1109
16848 5499 2325
5499 5938 -6507
5938 13118 6817
13118 4649 -2411
4649 7033 -5793
7033 3621 2734
3621 15765 866
15765 10048 -277
10048 13901 -178
13901 5909 -1060
5909 12762 -1089
12762 10540 8109
10540 14807 -7587
14807 17971 7499
17971 4306 -9206
4306 1714 4289
17315 4863 5624
4863 15221 -1953
15221 4633 4624
4633 5970 -279
5970 4666 -5695
4666 18364 2618
18364 1396 -2396
1396 5270 2064
5270 1519 1316
1519 4671 -1111
4671 16871 -1117
16871 3542 1774
3542 13437 1725
13437 8181 1472
8181 4676 -5663
4676 11724 -2754
11724 4678 6254
4678 13174 -2749
13174 14688 860
14688 17315 -2261
4681 12777 5141
12777 19629 -3066
19629 18426 7619
18426 4295 -1697
4295 5317 1649
5317 7561 -1157
7561 4688 -375
4688 8151 -3246
8151 13691 2280
13691 18465 -5969
18465 5639 -425
5639 14466 8527
14466 13194 -5178
13194 241 -3437
241 6395 6303
6395 6331 -5472
6331 15446 2220
15446 4363 3982
4363 7859 -164
7859 4681 -880
13449 5844 6537
5844 15351 2330
15351 14957 -3616
14957 14813 1268
14813 19852 -2969
19852 3403 -3362
3403 4708 6864
4708 8772 -1625
8772 801 1911
801 12710 205
12710 13972 462
13972 15816 -3869
15816 754 -1042
754 11758 3760
11758 8614 2920
8614 4254 -214
4254 4718 -531
4718 9775 -6508
9775 4720 858
4720 13449 4171
17531 7281 580
7281 2783 6251
2783 6610 2490
6610 16185 -5690
16185 10208 4726
10208 17484 4
17484 19184 -1686
19184 10639 -4507
10639 3696 4584
3696 4921 -2030
4921 12721 3499
12721 8313 -1059
8313 8460 -2696
8460 16410 -2533
16410 6438 6403
6438 4737 -3118
4737 18926 3973
18926 17065 -2284
17065 7664 -6270
7664 17531 3643
7271 17650 9844
17650 18049 -6500
18049 13373 -1293
13373 4745 5563
4745 4746 -3561
4746 16047 -1937
16047 5664 298
5664 2534 2339
2534 6968 3329
6968 16105 1600
16105 8716 -9287
8716 950 68
950 15861 -224
15861 602 3111
602 9027 1196
9027 4757 4983
4757 17143 -877
17143 11144 -5246
11144 564 -1468
564 7271 1835
10754 13415 6708
13415 16894 -4214
16894 17641 266
17641 2064 -647
2064 308 4401
308 7122 2986
7122 9986 -5641
9986 731 2109
731 14773 1840
14773 16622 -6488
16622 10317 3580
10317 4773 3020
4773 1478 -1569
1478 15654 -2556
15654 13692 -651
13692 7394 3199
7394 2016 3099
2016 1990 -5939
1990 939 5700
939 10754 -8957
5913 3298 2478
3298 16949 2744
16949 554 -2878
554 7800 306
7800 19883 5855
19883 16060 -4900
16060 13048 -3163
13048 5690 2615
5690 1615 -1182
1615 9510 662
9510 3339 3936
3339 10271 571
10271 10081 2150
10081 14942 -5940
14942 2986 5013
2986 6751 -158
6751 15154 -5830
15154 8756 4709
8756 12420 -2696
12420 5913 -3533
5185 491 5793
491 4803 -877
4803 16246 3617
16246 8276 -6547
8276 15016 7521
15016 4807 -6515
4807 4808 3214
4808 5749 -2249
5749 3749 -175
3749 11865 -1601
11865 17098 6252
17098 17929 -1040
17929 14722 -5622
14722 1504 -640
1504 12801 2347
12801 7165 3277
7165 3602 -2934
3602 19289 1243
19289 5708 -3883
5708 5185 3869
10983 9486 1277
9486 12195 6732
12195 4824 -3331
4824 8894 -1271
8894 276 -1069
276 19051 -1111
19051 5294 401
5294 7297 -176
7297 3776 5141
3776 16224 -4526
16224 2215 3803
2215 1494 -1097
1494 4834 731
4834 17603 -191
17603 10672 -2185
10672 2332 110
2332 4102 3902
4102 17998 2708
17998 4840 -2009
4840 10983 -6031
10860 5789 4798
5789 6888 4294
6888 672 -7051
672 810 2906
810 12422 3735
12422 5437 -2117
5437 11746 -5969
11746 9714 1944
9714 4850 -1210
4850 16539 6585
16539 4606 -1912
4606 17074 -4366
17074 2323 6026
2323 11143 -5029
11143 17102 5062
17102 3809 -1952
3809 58 1622
58 12070 1267
12070 3028 -1451
3028 10860 -6861
9126 18740 6794
18740 5183 -2247
5183 11666 -2394
11666 2314 6185
2314 4866 -5147
4866 19253 5649
19253 4575 -7148
4575 19420 359
19420 14441 7085
14441 8409 -8869
8409 10195 6567
10195 17688 -389
17688 3951 3356
3951 4875 -3354
4875 4876 386
4876 10240 1781
10240 17582 547
17582 278 -6838
278 15680 4211
15680 9126 -1079
1253 10536 2925
10536 1500 -2767
1500 15358 4823
15358 3180 4185
3180 11149 -8961
11149 13523 2368
13523 14245 4133
14245 2792 -4650
2792 13393 -1830
13393 18727 -157
18727 4892 5863
4892 6273 -2073
6273 7806 3218
7806 9651 -1432
9651 4896 241
4896 18044 -4045
18044 12826 629
12826 17812 877
17812 2968 4107
2968 1253 2493
17674 1485 9224
1485 6596 -7982
6596 9949 3316
9949 1932 -4469
1932 5627 4295
5627 17924 -3879
17924 4908 8012
4908 4909 1246
4909 1692 -940
1692 7453 -2142
7453 247 -3948
247 2103 4274
2103 7269 -4887
7269 1809 6048
1809 4916 -1524
4916 7137 519
7137 2832 783
2832 18433 -290
18433 14073 -250
14073 17674 -6222
6137 16626 8610
16626 19415 -8052
19415 4924 7346
4924 4929 2032
4929 9715 -843
9715 3062 -9021
3062 4501 601
4501 17253 148
17253 19325 6256
19325 13328 -3135
13328 19912 2899
19912 4128 -2114
4128 11831 109
11831 2804 -3457
2804 4936 2479
4936 11747 5974
11747 10628 -3359
10628 4939 -3582
4939 19885 -80
19885 6137 -1957
3722 16241 1040
16241 3801 2221
3801 16053 1945
16053 4989 -2804
4989 4946 1396
4946 14804 3255
14804 7495 -231
7495 4949 3060
4949 14255 -7141
14255 8400 -1518
8400 10293 -300
10293 11050 1457
11050 17574 361
17574 19775 402
19775 13525 1980
13525 9489 1706
9489 4109 -5556
4109 4959 525
4959 16179 2064
16179 3722 5934
4961 16259 2291
16259 15900 3577
15900 16658 -3424
16658 1697 -2011
1697 4966 8278
4966 16043 -422
16043 18199 14
18199 6761 -3391
6761 118 -2791
118 12708 676
12708 4917 5443
4917 1272 -1752
1272 15211 2907
15211 10613 -5222
10613 11645 546
11645 14300 -3394
14300 13297 897
13297 8159 1763
8159 8446 5585
8446 4961 -3701
10924 14160 6086
14160 15752 -5942
15752 4756 3525
4756 7129 3582
7129 9086 -1641
9086 19312 -5522
19312 8099 3854
8099 4945 1778
4945 19493 -5461
19493 19163 7108
19163 4074 -932
4074 4993 -5407
4993 15140 4246
15140 1678 -2260
1678 15879 -48
15879 11208 -1510
11208 7578 372
7578 4999 4653
4999 9068 2404
9068 10924 -8098
11978 6994 7786
6994 7542 -2159
7542 4891 3829
4891 17440 -874
17440 13869 318
13869 14218 -8694
14218 19661 1966
19661 17080 -1284
17080 17280 8004
17280 14212 -2256
14212 7427 -3478
7427 17312 -2308
17312 16468 7172
16468 19108 -965
19108 5016 -2677
5016 11604 2985
11604 657 2002
657 16484 -3550
16484 5152 -1595
5152 11978 4439
1307 12749 9090
12749 8106 -7370
8106 4044 6240
4044 7648 726
7648 15666 -241
15666 13675 -8283
13675 13269 8446
13269 17204 -4640
17204 4169 4471
4169 8844 -599
8844 5032 -4502
5032 16860 -773
16860 746 -371
746 3832 7641
3832 11944 -5399
11944 4752 4988
4752 7399 -2226
7399 10900 926
10900 5297 -1288
5297 1307 -5316
13404 8222 8142
8222 10473 -2712
10473 8928 -4467
8928 1557 2447
1557 16382 2431
16382 18159 -565
18159 14250 3648
14250 2756 357
2756 4907 33
4907 18600 -3698
18600 15190 909
15190 1361 -2030
1361 5054 5144
5054 7400 -2855
7400 10591 3016
10591 12261 -2524
12261 19069 -1335
19069 1916 -1044
1916 17276 2858
17276 13404 -5755
9494 850 440
850 17955 1398
17955 8804 7860
8804 1151 -9656
1151 4736 304
4736 5067 3018
5067 14484 -112
14484 1533 6352
1533 10729 -3827
10729 5071 387
5071 1726 -3905
1726 17625 -1428
17625 13662 7333
13662 7726 -7680
7726 17458 601
